,event_people_assoc_id,event_id,person_id,person_role
5444488,28463,11891,137.0,Owner
5444490,28464,11891,138.0,Owner
5444491,28465,11891,139.0,Owner
5444494,28466,11892,2211.0,Owner
5444495,28467,11892,2212.0,Owner
5444496,28468,11892,2213.0,Owner
5444497,28469,11892,2214.0,Owner
5444511,28470,11893,1176.0,Purchaser
5446961,28471,11893,1177.0,Purchaser
5446965,28472,11893,1178.0,Purchaser
5446968,28473,11894,577.0,Owner
5446973,28474,11894,578.0,Owner
5446976,28475,11894,579.0,Owner
5446977,28476,11895,2802.0,Owner
5446979,28477,11895,2803.0,Owner
5446980,28478,11896,654.0,Owner
5446983,28479,11897,2883.0,Owner
5446984,28480,11897,2884.0,Owner
5446985,28481,11897,2885.0,Owner
5446986,28482,11898,589.0,Owner
5446987,28483,11898,590.0,Owner
5446988,28484,11898,591.0,Owner
5446990,28485,11899,1176.0,Purchaser
5449440,28486,11899,1177.0,Purchaser
5449444,28487,11899,1178.0,Purchaser
5449447,28488,11900,1942.0,Owner
5449448,28489,11900,1943.0,Owner
5449449,28490,11900,1944.0,Owner
5449485,28491,11901,636.0,Owner
5449503,28492,11902,1176.0,Purchaser
5451953,28493,11902,1177.0,Purchaser
5451957,28494,11902,1178.0,Purchaser
5451960,28495,11903,3114.0,Owner
5451961,28496,11903,3115.0,Owner
5451963,28497,11904,1176.0,Purchaser
5454413,28498,11904,1177.0,Purchaser
5454417,28499,11904,1178.0,Purchaser
5454420,28500,11905,1411.0,Owner
5454423,28501,11905,1412.0,Owner
5454424,28502,11906,879.0,Owner
5454425,28503,11906,880.0,Owner
5454427,28504,11907,1176.0,Purchaser
5456877,28505,11907,1177.0,Purchaser
5456881,28506,11907,1178.0,Purchaser
5456884,28507,11908,415.0,Owner
5456885,28508,11908,416.0,Owner
5456886,28509,11908,417.0,Owner
5456887,28510,11909,587.0,Owner
5456890,28511,11910,1176.0,Purchaser
5459340,28512,11910,1177.0,Purchaser
5459344,28513,11910,1178.0,Purchaser
5459347,28514,11911,906.0,Owner
5459348,28515,11911,907.0,Owner
