parcel_id,block_num,parcel_num,ward_num,land_use
357,27,23,4,Residential
358,27,24A,4,Residential
359,27,24B,4,Residential
360,45,10,4,Residential
361,45,11,4,Residential
362,45,12,4,Residential
363,45,13,4,Residential
364,45,14,4,Residential
365,45,15,4,Residential
366,45,16,4,Residential
367,45,17,4,Residential
368,45,18,4,Residential
369,45,19,4,Residential
370,45,20,4,Residential
371,45,21,4,Residential
372,45,22,4,Residential
373,45,23,4,Residential
374,45,24,4,Residential
375,45,25,4,Residential
376,45,26,4,Residential
377,45,27,4,Residential
378,45,28,4,Residential
379,45,29,4,Residential
380,10,12,4,"Institutional
Residential"
381,10,13,4,Residential
382,10,14,4,Residential
383,10,15,4,Residential
384,10,16,4,Residential
385,10,17,4,Residential
386,10,18,4,Residential 
387,10,19,4,Residential
388,11,2,4,"Warehouse
Residential
Commercial
Shop building"
389,11,3,4,"Residential
Institutional"
390,11,4,4,Residential
391,11,6,4,Residential
392,11,7,4,Residential
393,11,8,4,Residential
394,11,9,4,Residential
395,11,10,4,Residential
396,11,11,4,"Industrial 
Commercial"
397,11,12,4,"Industrial 
Commercial"
398,11,14,4,Residential
399,11,15,4,Residential
400,11,16,4,Residential
401,11,17,4,Residential
402,11,43,4,Residential
403,11,44,4,Residential
404,11,45,4,Residential
405,4,25,4,Residential
406,4,26,4,Residential
407,6,53,4,Residential
408,6,54,4,Residential
409,6,55,4,Residential
410,6,56,4,Residential
411,6,57,4,Residential
412,6,58,4,Residential
413,6,59,4,Residential
414,6,60,4,Residential
415,4,4,4,Residential
416,4,5,4,Residential
417,5,17,4,Residential
418,5,18,4,Residential
419,55,2,4,Residential
420,55,3,4,Residential
421,4,1,4,Commercial
422,6,8,4,Residential
423,6,70,4,Residential
424,6,72,4,Residential
425,6,77,4,Residential
426,6,78,4,Residential
427,6,79,4,Residential
428,1,43,4,Commercial
429,1,44,4,Commercial
430,1,51,4,Commercial
431,2,1,4,Commercial
432,2,2,4,Commercial
433,4,2,4,Commerical
434,4,10,4,Residential
435,4,20,4,Commercial
436,6,6,4,Residential
437,6,7,4,Residential
438,6,36,4,Residential
439,6,61,4,Residential
440,6,66,4,Residential
441,6,75,4,Residential
442,7,14,4,"Redevelopment
Institutional
Residential"
443,10,2,4,Residential
444,10,3,4,Residential
445,10,4,4,Residential
446,10,6,4,Residential
447,11,5,4,Residential
448,11,18,4,Residential
449,11,19,4,Residential
450,11,20,4,Residential
451,11,21,4,Residential
452,11,22,4,Residential
453,11,23,4,Residential
454,11,24,4,Residential
455,11,25,4,Residential
456,11,26,4,Residential
457,11,27,4,Residential
458,11,28,4,Residential
459,11,29,4,Residential
460,11,30,4,Residential
461,11,31,4,Residential
462,11,32,4,Residential
463,11,33,4,Residential
464,11,34,4,Residential
465,11,35,4,Residential
466,11,36,4,Residential
467,11,37,4,Residential
468,11,38,4,Residential
469,11,39,4,Residential
470,11,40,4,Residential
471,11,41,4,Residential
472,11,42,4,Residential
473,53,5,4,Residential
474,53,6,4,Residential
475,53,7,4,Residential
476,48,3,4,Business
477,48,4,4,Commerical
478,48,5,4,Commerical + Roaming House
479,48,6,4,Residential
480,48,7,4,Residential
481,48,9,4,-
482,48,12,4,Commercial
483,49,1,4,Residential
484,49,2,4,Residential
485,49,5,4,Residential
486,49,6,4,Residential
487,49,7,4,Residential
488,49,8,4,Residential
489,49,9,4,Residential
490,49,10,4,"Residential
Parking"
491,49,11,4,Parking
492,49,12,4,Industrial
493,49,14,4,"Apts.
Commerical"
494,49,16,4,Industrial
495,49,18,4,Protection Adj: Property
496,5,5,4,Residential
497,5,12,4,Residential
498,5,13,4,Residential
499,5,16,4,Residential
500,5,20,4,Residential
501,53,2,4,Residential
502,53,3,4,Residential
503,53,8,4,Residential
504,55,12,4,Residential 
505,55,13,4,Residential 
506,4,6,4,Commercial
507,4,9,4,Residential
508,5,6,4,Residential
509,5,9,4,Residential
510,5,10,4,Residential
511,55,4,4,Residential
512,55,5,4,Residential
513,55,41,4,Church
514,5,11,4,Residential
515,6,62,4,Residential
516,6,63,4,Residential
517,6,65,4,Residential
518,6,67,4,Residential
519,6,68,4,Residential
520,1,2,4,Commercial
521,1,3,4,Commercial
522,1,4,4,Commercial
523,1,5,4,Residential
524,1,6,4,-
525,1,7,4,-
526,1,8,4,Residential
527,1,9,4,Commercial
528,1,10,-,Commercial
529,1,11,4,"Residential
Commercial"
530,1,12,4,"Residential
Commercial"
531,1,13,4,Commercial
532,1,13A,4,Commercial
533,1,14,4,"Commercial
Residential"
534,1,15,4,Commercial
535,1,16,4,Residential
536,1,17,4,Residential
537,1,18,4,"Commercial
Residential"
538,1,19,4,Commercial
539,1,20,4,Commercial
540,1,21,4,Commercial
541,1,22,4,Commercial
542,1,24,4,Commercial
543,1,25,4,"Commercial
Residential"
544,1,27,4,Residential
545,1,28,4,Commercial
546,1,29,4,Commercial
547,1,30,4,Commercial
548,1,31,4,Residential
549,1,32,4,Commercial
550,1,33,4,"Commercial
Residential"
551,1,34,4,Commercial
552,1,35,4,Commercial
553,1,36,4,"Commercial
Residential"
554,1,37,4,Commercial
555,1,38,4,Commercial
556,1,39,4,"Commercial
Residential"
557,1,40,4,"Commercial
Residential"
558,1,41,4,Commercial
559,1,42,4,"Commercial
Residential"
560,1,45,4,Commercial
561,1,46,4,Commercial
562,1,47,4,Commercial
563,1,48,4,Commercial
564,1,49,4,Commercial
565,1,50,4,Commercial
